Stemmer-Scorer-Field	Average-R-Precision
default-CountScorer-text_and_title	0.0246189422914
english-BM25Scorer-title	0.222961321237
default-TfIdfScorer-text_and_title	0.179327875018
english-CountScorer-text_and_title	0.0277202578927
fagins	0.214001886847
stopwords-TfIdfScorer-text_and_title	0.19088393916
stopwords-CountScorer-title	0.196395514499
stopwords-TfIdfScorer-text	0.208188151723
default-BM25Scorer-text_and_title	0.254943038133
default-TfIdfScorer-title	0.171236224253
stopwords-TfIdfScorer-title	0.171996522859
english-BM25Scorer-text	0.257553385571
default-BM25Scorer-text	0.23548681609
english-CountScorer-text	0.0227134877997
english-CountScorer-title	0.077633718151
stopwords-BM25Scorer-title	0.221931540466
stopwords-CountScorer-text	0.12971461549
english-TfIdfScorer-text_and_title	0.189350907454
default-BM25Scorer-title	0.199856033046
default-TfIdfScorer-text	0.194332294763
english-TfIdfScorer-title	0.172907398338
stopwords-CountScorer-text_and_title	0.156353294715
stopwords-BM25Scorer-text_and_title	0.266473977681
stopwords-BM25Scorer-text	0.251534289896
default-CountScorer-title	0.0688040416489
english-BM25Scorer-text_and_title	0.26239166584
threshold	0.2218410171
default-CountScorer-text	0.0208634234496
english-TfIdfScorer-text	0.208394823912
